dataset_name,row_count,csv_file,json_file,description
"surahs","114","database/surahs.csv","database/surahs.json","بيانات السور الأساسية."
"verses","6236","database/verses.csv","database/verses.json","جميع آيات القرآن مع النص والترقيم والجزء والصفحة."
"audio","18012","database/audio.csv","database/audio.json","تلاوات السور لجميع القراء."
"quran_pages","604","database/quran_pages.csv","database/quran_pages.json","فهرس صفحات المصحف وصورة كل صفحة وحدود السور والآيات."
"timing_reciters","96","database/timing_reciters.csv","database/timing_reciters.json","قراء بيانات التوقيت التقليدية."
"ayat_timing","600327","database/ayat_timing.csv","database/ayat_timing.json","توقيت الآيات التقليدي بالمللي ثانية. verse_number=0 محفوظ كما ورد في المصدر للبسمـلة/المقدمات."
"ayat_timing_geometry","6356","database/ayat_timing_geometry.csv","database/ayat_timing_geometry.json","إحداثيات الآيات والصفحة من بيانات التوقيت."
"ayah_audio_reciters","38","database/ayah_audio_reciters.csv","database/ayah_audio_reciters.json","قراء الصوت آية بآية وروابط bitrate المتاحة."
"reciter_images","158","database/reciter_images.csv","database/reciter_images.json","فهرس صور القراء؛ الصورة لا تخزن داخل قواعد البيانات وإنما يخزن مسارها."
"surah_names","114","database/surah_names.csv","database/surah_names.json","فهرس ملفات SVG لأسماء السور."
"ayah_bayah_reciters","9","database/ayah_bayah_reciters.csv","database/ayah_bayah_reciters.json","قراء بيانات التتبع الحديثة من Timming-Reciters-ayahBayah."
"ayah_bayah_surahs","798","database/ayah_bayah_surahs.csv","database/ayah_bayah_surahs.json","ملفات صوت السور لقراء التتبع الحديثة."
"ayah_bayah_ayahs","49888","database/ayah_bayah_ayahs.csv","database/ayah_bayah_ayahs.json","بيانات الآية للتتبع الحديث؛ الوقت إما داخل السورة أو داخل ملف الآية حسب time_base."
"ayah_bayah_segments","481395","database/ayah_bayah_segments.csv","database/ayah_bayah_segments.json","تقسيم الكلمات في بيانات التتبع الحديث."
"api_reference","1","database/api_reference.csv","database/api_reference.json","مرجع API الحالي كـ JSON خام إلى جانب أهم الحقول."
"source_files","7645","database/source_files.csv","database/source_files.json","فهرس الملفات الموجودة داخل data حتى يمكن تدقيق اكتمال المصدر والأصول البصرية."
