عدد قراء حفص الكاملين: 96
سيتم إنشاء الملفات داخل: timings_hafs_114

📖 تحميل توقيتات السورة 001 ...
  ✅ read=1 | إبراهيم الأخضر | ayat=7
  ✅ read=3 | إبراهيم العسيري | ayat=7
  ✅ read=4 | شيخ أبو بكر الشاطري | ayat=7
  ✅ read=5 | أحمد بن علي العجمي | ayat=8
  ✅ read=6 | أحمد الحواشي | ayat=7
  ✅ read=8 | أحمد صابر | ayat=7
  ✅ read=9 | أحمد نعينع | ayat=8
  ✅ read=10 | أكرم العلاقمي | ayat=8
  ✅ read=12 | إدريس أبكر | ayat=7
  ✅ read=13 | الزين محمد أحمد | ayat=7
  ✅ read=17 | توفيق الصايغ | ayat=7
  ✅ read=20 | خالد الجليل | ayat=7
  ✅ read=21 | خالد القحطاني | ayat=7
  ✅ read=22 | خالد عبدالكافي | ayat=7
  ✅ read=24 | خليفة الطنيجي | ayat=7
  ✅ read=25 | داود حمزة | ayat=7
  ✅ read=30 | سعد الغامدي | ayat=7
  ✅ read=31 | سعود الشريم | ayat=8
  ✅ read=32 | سهل ياسين | ayat=8
  ✅ read=33 | زكي داغستاني | ayat=7
  ✅ read=38 | شيرزاد عبدالرحمن طاهر | ayat=7
  ✅ read=39 | صابر عبدالحكم | ayat=7
  ✅ read=40 | صالح الصاهود | ayat=7
  ✅ read=42 | صالح الهبدان | ayat=7
  ✅ read=43 | صلاح البدير | ayat=7
  ✅ read=44 | صلاح الهاشم | ayat=7
  ✅ read=46 | صلاح بو خاطر | ayat=7
  ✅ read=48 | عادل ريان | ayat=7
  ✅ read=49 | عبدالبارئ الثبيتي | ayat=7
  ✅ read=50 | عبدالبارئ محمد | ayat=7
  ✅ read=53 | عبدالباسط عبدالصمد | ayat=8
  ✅ read=54 | عبدالرحمن السديس | ayat=7
  ✅ read=55 | عبدالعزيز الأحمد | ayat=7
  ✅ read=56 | عبدالعزيز الزهراني | ayat=7
  ✅ read=58 | عبدالله البعيجان | ayat=7
  ✅ read=59 | عبدالله المطرود | ayat=7
  ✅ read=60 | عبدالله بصفر | ayat=7
  ✅ read=61 | عبدالله خياط | ayat=7
  ✅ read=62 | عبدالله عواد الجهني | ayat=8
  ✅ read=66 | عبدالمحسن الحارثي | ayat=7
  ✅ read=67 | عبدالمحسن القاسم | ayat=8
  ✅ read=69 | عبدالمحسن العبيكان | ayat=7
  ✅ read=70 | عبدالهادي أحمد كناكري | ayat=7
  ✅ read=71 | عبدالودود حنيف | ayat=7
  ✅ read=72 | عبدالولي الأركاني | ayat=7
  ✅ read=74 | علي بن عبدالرحمن الحذيفي | ayat=6
  ✅ read=76 | علي جابر | ayat=7
  ✅ read=77 | علي حجاج السويسي | ayat=8
  ✅ read=78 | عماد زهير حافظ | ayat=7
  ✅ read=81 | فارس عباد | ayat=7
  ✅ read=86 | ناصر القطامي | ayat=7
  ✅ read=87 | نبيل الرفاعي | ayat=7
  ✅ read=88 | نعمة الحسان | ayat=7
  ✅ read=89 | هاني الرفاعي | ayat=7
  ✅ read=92 | ياسر الدوسري | ayat=7
  ✅ read=106 | محمد الطبلاوي | ayat=8
  ✅ read=109 | محمد أيوب | ayat=7
  ✅ read=110 | محمد صالح عالم شاه | ayat=7
  ✅ read=112 | محمد صديق المنشاوي | ayat=8
  ✅ read=115 | محمد عبدالكريم | ayat=7
  ✅ read=118 | محمود خليل الحصري | ayat=7
  ✅ read=123 | مشاري العفاسي | ayat=7
  ✅ read=139 | ماجد الزامل | ayat=7
  ✅ read=159 | خالد المهنا | ayat=7
  ✅ read=181 | جمعان العصيمي | ayat=7
  ✅ read=193 | يوسف بن نوح أحمد | ayat=7
  ✅ read=198 | محمد رشاد الشريف | ayat=7
  ✅ read=201 | أحمد الطرابلسي | ayat=7
  ✅ read=203 | أحمد عامر | ayat=7
  ✅ read=217 | بندر بليله | ayat=7
  ✅ read=219 | وديع اليمني | ayat=7
  ✅ read=221 | رعد محمد الكردي | ayat=7
  ✅ read=225 | عبدالرحمن العوسي | ayat=7
  ✅ read=229 | محمد خليل القارئ | ayat=7
  ✅ read=232 | إبراهيم الدوسري | ayat=7
  ✅ read=236 | عبدالرحمن الماجد | ayat=7
  ✅ read=243 | عبدالله الموسى | ayat=7
  ✅ read=244 | عبدالله الخلف | ayat=7
  ✅ read=245 | منصور السالمي | ayat=7
  ✅ read=250 | محمد البخيت | ayat=7
